servicio 1	sentido 1	nave 1	viaje 1	por_onu	pol_onu	pod_onu	podl_onu	direct_ts	item_type	cnt_type_iso	comm_name	issuer_name	custumer_type	cantidad	freight_tons_un	weight_un	teus	lost_teus	flete_all_in_us_un	other_cost
NHX	EB	KOTA LAZIM	3	ARBUE	ARBUE	CNNGB	CNNGB		DRY	22G0	GENERAL CARGO	Other	no_contract	4	16	64	4	0	1254	0
NHX	EB	KOTA LAZIM	3	ARBUE	ARBUE	CNNGB	CNNGB		DRY	45G0	GENERAL CARGO	Other	no_contract	1	32	32	2	0	1208	0
NHX	EB	KOTA LAZIM	3	ARBUE	ARBUE	CNSHA	CNSHA		DRY	42G0	GENERAL CARGO	Other	no_contract	2	32	64	4	0	1105	0
NHX	EB	KOTA LAZIM	3	BRSSZ	BRSSZ	HKHKG	HKHKG		REEFER	45R1	FROZEN CARGO	Other	no_contract	6	32	192	12	0	1820	0
NHX	WB	KOTA LAZIM	3	CNNGB	CNNGB	BRRIO	BRRIO		DRY	22G0	MINERALS	Other	no_contract	5	11	55	5	0	2010	0
NHX	WB	KOTA LAZIM	3	CNNGB	CNNGB	BRRIO	BRRIO		DRY	45G0	GENERAL CARGO	Other	no_contract	5	22	110	10	0	1799	0
NHX	WB	KOTA LAZIM	3	CNSHK	CNSHK	BRRIO	BRRIO		DRY	22G0	METALS	Other	no_contract	4	11	44	4	0	1893	0
NHX	WB	KOTA LAZIM	3	CNSHK	CNSHK	BRRIO	BRRIO		DRY	45G0	MINERALS	Other	no_contract	6	22	132	12	0	1989	0
NHX	WB	KOTA LAZIM	3	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	22G0	GENERAL CARGO	Other	no_contract	5	11	55	5	0	1350	0
NHX	WB	KOTA LAZIM	3	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	42G0	CHEMICALS	Other	no_contract	2	22	44	4	0	1355	0
NHX	WB	KOTA LAZIM	3	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	45G0	METALS	Other	no_contract	1	22	22	2	0	1290	0
NHX	WB	KOTA LAZIM	3	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	45G0	MINERALS	Other	no_contract	2	22	44	4	0	1283	0
NHX	WB	KOTA LAZIM	3	HKHKG	HKHKG	BRRIO	BRRIO		DRY	45G0	CHEMICALS	Other	no_contract	2	22	44	4	0	1890	0
NHX	WB	KOTA LAZIM	3	HKHKG	HKHKG	BRRIO	BRRIO		DRY	45G0	CHEMICALS	Other	no_contract	2	22	44	4	0	4000	0
NHX	WB	KOTA LAZIM	3	CNSHK	CNSHK	BRSSZ	BRSSZ		NOR	45R1	MINERALS	Other	no_contract	6	22	132	12	0	1200	0
NHX	EB	HYUNDAI PLATINUM	4	ARBUE	ARBUE	CNNGB	CNNGB		DRY	22G0	GENERAL CARGO	Other	no_contract	4	16	64	4	0	1254	0
NHX	EB	HYUNDAI PLATINUM	4	ARBUE	ARBUE	CNNGB	CNNGB		DRY	45G0	GENERAL CARGO	Other	no_contract	1	32	32	2	0	1208	0
NHX	EB	HYUNDAI PLATINUM	4	ARBUE	ARBUE	CNSHA	CNSHA		DRY	42G0	GENERAL CARGO	Other	no_contract	2	32	64	4	0	1105	0
NHX	EB	HYUNDAI PLATINUM	4	BRSSZ	BRSSZ	HKHKG	HKHKG		REEFER	45R1	FROZEN CARGO	Other	no_contract	6	32	192	12	0	1820	0
NHX	EB	KOTA LAWA	4	ARBUE	ARBUE	CNNGB	CNNGB		DRY	22G0	GENERAL CARGO	Other	no_contract	4	16	64	4	0	1254	0
NHX	EB	KOTA LAWA	4	ARBUE	ARBUE	CNNGB	CNNGB		DRY	45G0	GENERAL CARGO	Other	no_contract	1	32	32	2	0	1208	0
NHX	EB	KOTA LAWA	4	ARBUE	ARBUE	CNSHA	CNSHA		DRY	42G0	GENERAL CARGO	Other	no_contract	2	32	64	4	0	1105	0
NHX	EB	KOTA LAWA	4	BRSSZ	BRSSZ	HKHKG	HKHKG		REEFER	45R1	FROZEN CARGO	Other	no_contract	6	32	192	12	0	1820	0
NHX	WB	KOTA LAWA	4	CNNGB	CNNGB	BRRIO	BRRIO		DRY	22G0	MINERALS	Other	no_contract	5	11	55	5	0	2010	0
NHX	WB	KOTA LAWA	4	CNNGB	CNNGB	BRRIO	BRRIO		DRY	45G0	GENERAL CARGO	Other	no_contract	5	22	110	10	0	1799	0
NHX	WB	KOTA LAWA	4	CNSHK	CNSHK	BRRIO	BRRIO		DRY	22G0	METALS	Other	no_contract	4	11	44	4	0	1893	0
NHX	WB	KOTA LAWA	4	CNSHK	CNSHK	BRRIO	BRRIO		DRY	45G0	MINERALS	Other	no_contract	6	22	132	12	0	1989	0
NHX	WB	KOTA LAWA	4	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	22G0	GENERAL CARGO	Other	no_contract	5	11	55	5	0	1350	0
NHX	WB	KOTA LAWA	4	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	42G0	CHEMICALS	Other	no_contract	2	22	44	4	0	1355	0
NHX	WB	KOTA LAWA	4	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	45G0	METALS	Other	no_contract	1	22	22	2	0	1290	0
NHX	WB	KOTA LAWA	4	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	45G0	MINERALS	Other	no_contract	2	22	44	4	0	1283	0
NHX	WB	KOTA LAWA	4	HKHKG	HKHKG	BRRIO	BRRIO		DRY	45G0	CHEMICALS	Other	no_contract	2	22	44	4	0	1890	0
NHX	EB	HYUNDAI PARAMOUNT	5	ARBUE	ARBUE	CNNGB	CNNGB		DRY	22G0	GENERAL CARGO	Other	no_contract	4	16	64	4	0	1254	0
NHX	EB	HYUNDAI PARAMOUNT	5	ARBUE	ARBUE	CNNGB	CNNGB		DRY	45G0	GENERAL CARGO	Other	no_contract	1	32	32	2	0	1208	0
NHX	EB	HYUNDAI PARAMOUNT	5	ARBUE	ARBUE	CNSHA	CNSHA		DRY	42G0	GENERAL CARGO	Other	no_contract	2	32	64	4	0	1105	0
NHX	EB	HYUNDAI PARAMOUNT	5	BRSSZ	BRSSZ	HKHKG	HKHKG		REEFER	45R1	FROZEN CARGO	Other	no_contract	6	32	192	12	0	1820	0
NHX	WB	HYUNDAI PARAMOUNT	5	CNNGB	CNNGB	BRRIO	BRRIO		DRY	22G0	MINERALS	Other	no_contract	5	11	55	5	0	2010	0
NHX	WB	HYUNDAI PARAMOUNT	5	CNNGB	CNNGB	BRRIO	BRRIO		DRY	45G0	GENERAL CARGO	Other	no_contract	5	22	110	10	0	1799	0
NHX	WB	HYUNDAI PARAMOUNT	5	CNSHK	CNSHK	BRRIO	BRRIO		DRY	22G0	METALS	Other	no_contract	4	11	44	4	0	1893	0
NHX	WB	HYUNDAI PARAMOUNT	5	CNSHK	CNSHK	BRRIO	BRRIO		DRY	45G0	MINERALS	Other	no_contract	6	22	132	12	0	1989	0
NHX	WB	HYUNDAI PARAMOUNT	5	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	22G0	GENERAL CARGO	Other	no_contract	5	11	55	5	0	1350	0
NHX	WB	HYUNDAI PARAMOUNT	5	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	42G0	CHEMICALS	Other	no_contract	2	22	44	4	0	1355	0
NHX	WB	HYUNDAI PARAMOUNT	5	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	45G0	METALS	Other	no_contract	1	22	22	2	0	1290	0
NHX	WB	HYUNDAI PARAMOUNT	5	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	45G0	MINERALS	Other	no_contract	2	22	44	4	0	1283	0
NHX	WB	HYUNDAI PARAMOUNT	5	HKHKG	HKHKG	BRRIO	BRRIO		DRY	45G0	CHEMICALS	Other	no_contract	2	22	44	4	0	1890	0
NHX	WB	HYUNDAI PLATINUM	5	CNNGB	CNNGB	BRRIO	BRRIO		DRY	22G0	MINERALS	Other	no_contract	5	11	55	5	0	2010	0
NHX	WB	HYUNDAI PLATINUM	5	CNNGB	CNNGB	BRRIO	BRRIO		DRY	45G0	GENERAL CARGO	Other	no_contract	5	22	110	10	0	1799	0
NHX	WB	HYUNDAI PLATINUM	5	CNSHK	CNSHK	BRRIO	BRRIO		DRY	22G0	METALS	Other	no_contract	4	11	44	4	0	1893	0
NHX	WB	HYUNDAI PLATINUM	5	CNSHK	CNSHK	BRRIO	BRRIO		DRY	45G0	MINERALS	Other	no_contract	6	22	132	12	0	1989	0
NHX	WB	HYUNDAI PLATINUM	5	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	22G0	GENERAL CARGO	Other	no_contract	5	11	55	5	0	1350	0
NHX	WB	HYUNDAI PLATINUM	5	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	42G0	CHEMICALS	Other	no_contract	2	22	44	4	0	1355	0
NHX	WB	HYUNDAI PLATINUM	5	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	45G0	METALS	Other	no_contract	1	22	22	2	0	1290	0
NHX	WB	HYUNDAI PLATINUM	5	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	45G0	MINERALS	Other	no_contract	2	22	44	4	0	1283	0
NHX	WB	HYUNDAI PLATINUM	5	HKHKG	HKHKG	BRRIO	BRRIO		DRY	45G0	CHEMICALS	Other	no_contract	2	22	44	4	0	1890	0
NHX	EB	KOTA LEMBAH                        	5	ARBUE	ARBUE	CNNGB	CNNGB		DRY	22G0	GENERAL CARGO	Other	no_contract	4	16	64	4	0	1254	0
NHX	EB	KOTA LEMBAH                        	5	ARBUE	ARBUE	CNNGB	CNNGB		DRY	45G0	GENERAL CARGO	Other	no_contract	1	32	32	2	0	1208	0
NHX	EB	KOTA LEMBAH                        	5	ARBUE	ARBUE	CNSHA	CNSHA		DRY	42G0	GENERAL CARGO	Other	no_contract	2	32	64	4	0	1105	0
NHX	EB	KOTA LEMBAH                        	5	BRSSZ	BRSSZ	HKHKG	HKHKG		REEFER	45R1	FROZEN CARGO	Other	no_contract	6	32	192	12	0	1820	0
NHX	WB	KOTA LEMBAH                        	5	CNNGB	CNNGB	BRRIO	BRRIO		DRY	22G0	MINERALS	Other	no_contract	5	11	55	5	0	2010	0
NHX	WB	KOTA LEMBAH                        	5	CNNGB	CNNGB	BRRIO	BRRIO		DRY	45G0	GENERAL CARGO	Other	no_contract	5	22	110	10	0	1799	0
NHX	WB	KOTA LEMBAH                        	5	CNSHK	CNSHK	BRRIO	BRRIO		DRY	22G0	METALS	Other	no_contract	4	11	44	4	0	1893	0
NHX	WB	KOTA LEMBAH                        	5	CNSHK	CNSHK	BRRIO	BRRIO		DRY	45G0	MINERALS	Other	no_contract	6	22	132	12	0	1989	0
NHX	WB	KOTA LEMBAH                        	5	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	22G0	GENERAL CARGO	Other	no_contract	5	11	55	5	0	1350	0
NHX	WB	KOTA LEMBAH                        	5	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	42G0	CHEMICALS	Other	no_contract	2	22	44	4	0	1355	0
NHX	WB	KOTA LEMBAH                        	5	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	45G0	METALS	Other	no_contract	1	22	22	2	0	1290	0
NHX	WB	KOTA LEMBAH                        	5	CNSHK	CNSHK	BRSSZ	BRSSZ		DRY	45G0	MINERALS	Other	no_contract	2	22	44	4	0	1283	0
